net_sharpe_permutation_null_2.5bp
-0.2685
-0.2213
-0.5910
-0.3222
-0.1793
-0.0983
-1.0161
-0.0814
-0.5085
-0.1288
-0.4142
-0.3054
-0.0087
-1.0894
-0.4747
-0.1324
-0.5194
-0.9601
-0.9732
-0.1491
0.2260
-0.6462
-0.5940
-0.7770
-0.8626
-0.3738
-0.4073
-0.5047
-0.6919
-0.1454
-0.8748
0.0912
-0.4741
-0.6884
-0.1300
-0.3572
0.0798
-1.2356
-0.3835
-0.8028
