net_sharpe_iid_null_0bp
0.3022
-0.5414
-0.6379
-0.4041
0.2191
-0.1179
-0.4948
-0.2588
0.3111
0.4105
0.1866
-0.5362
0.5692
0.0206
0.1996
-0.0762
-0.0944
-0.6069
-0.4214
0.0946
0.1600
-0.4255
-0.3041
-0.5233
-0.1829
-0.1401
0.0520
0.0099
0.1630
0.0135
-0.0351
-0.0876
-0.2167
-0.3561
-0.1443
0.6895
0.2910
0.1276
0.2578
0.7353
