signal,ic_mean,ic_t_nw,ic_std,ic_ir,hit_rate,n_days
beta_mkt,-0.023370683135823033,-3.5465192178785205,0.16035049602456186,-0.1457474951137239,0.4355904211395541,2422
gap_abs_5,-0.017877760888638506,-3.198289714812812,0.14546830896852672,-0.12289797699172064,0.44426094137076794,2422
clv_1,-0.008828849870914417,-3.1080406632107285,0.14264419612761306,-0.061894210283998566,0.4764657308009909,2422
vov_63,-0.013356027036672885,-2.7938113227607784,0.1197607906001524,-0.111522535629085,0.4595375722543353,2422
ln_dollar_vol,-0.013758905989956738,-2.6405509863348224,0.13167428361775693,-0.10449197528879725,0.4644921552436003,2422
idio_vol_63,-0.012824796803798362,-2.456141302510639,0.13119614426897086,-0.09775284841836278,0.44591246903385634,2422
skew_63,-0.012543948610435953,-2.2771796011301224,0.13562725821607097,-0.09248840369870114,0.4805945499587118,2422
kurt_63,-0.010548443543875394,-2.264150610711923,0.1180436704466446,-0.08936051805203109,0.4620148637489678,2422
rsi_2,-0.007601813900835812,-1.9073687241409798,0.1515206684538085,-0.050170144960476115,0.4727497935590421,2422
tot_vol_21,-0.010077017231620317,-1.7517253026644717,0.14406189564573782,-0.0699492199963874,0.4801816680429397,2422
park_vol_21,-0.009784640281146144,-1.6620698766361157,0.14592625243639504,-0.06705195342017695,0.4624277456647399,2422
intra_5,-0.007654567024504975,-1.5853752699062065,0.1499330525532745,-0.051053232720551324,0.4801816680429397,2422
idio_vol_21,-0.005689418077984968,-1.1320625998884688,0.1289181596371803,-0.04413201440353269,0.47894302229562347,2422
on_5,-0.005879668135400182,-1.1196941488589685,0.1462215730234323,-0.04021067489444908,0.48265895953757226,2422
vol_ratio_5_63,-0.004697453270824524,-1.0731986953093389,0.1257219899158628,-0.037363815780900464,0.4834847233691164,2422
max_abs_10,-0.004949920102916904,-1.006623690910822,0.12604452809607572,-0.03927120183387806,0.4913294797687861,2422
updays_10,-0.004740874983002813,-0.876049530510081,0.15214773599179687,-0.03115968142475955,0.49421965317919075,2422
intra_21,-0.004988423587907719,-0.8027418286699772,0.15930439760334877,-0.031313784571900954,0.4913294797687861,2422
vol_dryup,-0.0025846339355969994,-0.5521135761117034,0.13004731156667182,-0.019874566451701894,0.4929810074318745,2422
on_21,-0.003282506539624542,-0.5383289372383953,0.15085649421875305,-0.021759133119351595,0.476878612716763,2422
donch_pos_20,-0.003070077094961548,-0.5170751413874872,0.1602093090197052,-0.01916291327730487,0.495458298926507,2422
clv_5,-0.002010687053173314,-0.43340779828318693,0.13965265872046131,-0.014397771382197944,0.4962840627580512,2422
rsi_14,-0.0016752583037474916,-0.26944185642304946,0.16379708890257308,-0.01022764394026526,0.500412881915772,2422
mom_21_sc,-0.0016821089013247504,-0.2397105251158312,0.18082064272191672,-0.009302637552901847,0.5020644095788604,2422
dist_52w_low,-0.0013484867156144521,-0.20780487551382879,0.16599272802825737,-0.008123769827946293,0.5161023947151114,2422
mom_21,-0.001474752268131716,-0.20501254777440317,0.18426537454615077,-0.00800341502989403,0.5,2422
dv_trend,-0.0005124214269756745,-0.09579115788256111,0.13711191452420313,-0.0037372494487721663,0.495458298926507,2422
vol_shock,3.8917681074834795e-05,0.009753178229547741,0.13027894311517416,0.0002987257966963188,0.4884393063583815,2422
semidev_21,0.0001296663230508236,0.024028015341414643,0.13873973056101233,0.0009346012315758492,0.49050371593724196,2422
amihud_21,0.004699872307235177,0.8563087579004922,0.1370250676778542,0.03429936132769934,0.5033030553261767,2422
on_intra_spread_5,0.004270233605583702,0.9481741256623404,0.14248314656578692,0.02997009617282744,0.5161023947151114,2422
rev_10,0.007347821759854112,1.132824407445807,0.1752319846172227,0.04193196679193423,0.5066061106523534,2422
rev_10_sc,0.007395728657333574,1.1489946242237778,0.17278924165886586,0.04280202046337355,0.5099091659785301,2422
mom_63,0.009949852918788173,1.3131380451907364,0.1912042322971681,0.05203782782027644,0.5284888521882741,2422
on_intra_spread_21,0.00840886513124753,1.4474061840398194,0.1460280099247715,0.05758391924658483,0.5194054500412882,2422
rev_5_sc,0.008761178019279876,1.56744295337017,0.16559381911013396,0.052907639103685074,0.5218827415359207,2422
rev_5,0.00915991072723778,1.6063605320072671,0.16963947921094738,0.05399633841039676,0.5239471511147812,2422
rev_3,0.008055001951816928,1.6599324063883003,0.1693508867666055,0.0475639785867676,0.5107349298100743,2422
dist_52w_high,0.012640584462057552,1.8299659338923977,0.17491663756977732,0.07226633576817414,0.5437654830718415,2422
rev_1_sc,0.006319669562444977,1.8912269153921075,0.16767636364604147,0.03768968639960229,0.5227085053674649,2422
rev_1,0.006457432507824949,1.8939313363314516,0.17159435298643352,0.03763196396291364,0.5251857968620974,2422
mom_252_21,0.024350280845611052,3.2997010007424414,0.18297598897330664,0.1330791049811644,0.5606936416184971,2422
