variant,ic,ic_t,sharpe,ann
FULL model,0.023049372100885417,3.6960827809106354,0.7387258599875993,0.030962638074014448
drop reversal,0.024024100182890033,3.751272488495776,0.6952555395078178,0.029030549723831678
drop momentum,0.015116661416562085,2.464736785446992,0.34099651094757205,0.013421888162640006
drop risk/vol,0.025909516555226227,4.118629110751601,0.8231797951441229,0.033256762207143575
drop liquidity,0.023535110545484607,3.573641388873403,0.7113982189410335,0.02939595986558796
drop overnight/intraday,0.025410247913088997,3.8876741815461893,0.6974757734133099,0.030008361881941115
drop price shape,0.024403654421185896,3.8331401916420687,0.7678211896354011,0.03375423012840417
regime context only,,,,0.0
no regime context,0.023032603614759894,3.6785620101625915,0.6501692427445188,0.02543160639236053
